year,month,day,dow,hour,minute
2017,8,15,1,14,41
2017,8,15,1,14,30
2017,8,15,1,14,25
2017,8,15,1,13,35
2017,8,15,1,13,27
2017,8,15,1,13,26
2017,8,15,1,13,17
2017,8,15,1,12,51
2017,8,15,1,12,41
2017,8,15,1,12,34
2017,8,15,1,12,27
2017,8,15,1,12,21
2017,8,15,1,12,16
2017,8,15,1,12,7
2017,8,15,1,12,3
2017,8,15,1,11,46
2017,8,15,1,11,45
2017,8,15,1,11,43
2017,8,15,1,11,35
2017,8,15,1,11,19
2017,8,15,1,11,12
2017,8,15,1,11,7
2017,8,15,1,11,6
2017,8,15,1,11,6
2017,8,15,1,11,1
2017,8,15,1,11,0
2017,8,15,1,11,0
2017,8,15,1,11,0
2017,8,15,1,11,0
2017,8,15,1,11,0
2017,8,15,1,11,0
2017,8,15,1,10,49
2017,8,15,1,10,42
2017,8,15,1,9,41
2017,8,15,1,9,38
2017,8,15,1,9,31
2017,8,15,1,9,30
2017,8,15,1,9,5
2017,8,15,1,8,57
2017,8,15,1,8,42
2017,8,15,1,5,49
2017,8,15,1,3,55
2017,8,14,0,18,0
2017,8,14,0,16,19
2017,8,14,0,16,18
2017,8,14,0,15,54
2017,8,14,0,15,40
2017,8,14,0,15,29
2017,8,14,0,15,29
2017,8,14,0,15,23
2017,8,14,0,15,22
2017,8,14,0,15,9
2017,8,14,0,15,3
2017,8,14,0,14,59
2017,8,14,0,14,44
2017,8,14,0,14,33
2017,8,14,0,14,32
2017,8,14,0,14,29
2017,8,14,0,14,19
2017,8,14,0,14,15
2017,8,14,0,13,51
2017,8,14,0,13,37
2017,8,14,0,13,34
2017,8,14,0,13,20
2017,8,14,0,13,9
2017,8,14,0,13,4
2017,8,14,0,13,3
2017,8,14,0,12,56
2017,8,14,0,12,37
2017,8,14,0,12,14
2017,8,14,0,11,51
2017,8,14,0,11,49
2017,8,14,0,11,45
2017,8,14,0,11,0
2017,8,14,0,10,53
2017,8,14,0,10,47
2017,8,14,0,10,36
2017,8,14,0,10,35
2017,8,14,0,10,17
2017,8,14,0,10,3
2017,8,14,0,10,2
2017,8,14,0,9,53
2017,8,14,0,9,51
2017,8,14,0,9,42
2017,8,14,0,8,37
2017,8,14,0,8,23
2017,8,13,6,22,20
2017,8,13,6,16,14
2017,8,13,6,16,5
2017,8,12,5,19,36
2017,8,11,4,20,53
2017,8,11,4,16,53
2017,8,11,4,16,17
2017,8,11,4,15,57
2017,8,11,4,15,4
2017,8,11,4,14,21
2017,8,11,4,14,0
2017,8,11,4,13,58
2017,8,11,4,13,55
2017,8,11,4,13,47
2017,8,11,4,13,40
2017,8,11,4,13,19
2017,8,11,4,12,39
2017,8,11,4,12,7
2017,8,11,4,11,17
2017,8,11,4,10,46
2017,8,11,4,10,46
2017,8,11,4,9,22
2017,8,11,4,9,6
2017,8,11,4,9,3
2017,8,11,4,8,1
2017,8,10,3,21,29
2017,8,10,3,21,13
2017,8,10,3,21,5
2017,8,10,3,15,15
2017,8,10,3,14,44
2017,8,10,3,14,15
2017,8,10,3,14,10
2017,8,10,3,14,8
2017,8,10,3,14,3
2017,8,10,3,14,1
2017,8,10,3,13,58
2017,8,10,3,13,56
2017,8,10,3,13,54
2017,8,10,3,13,48
2017,8,10,3,13,37
2017,8,10,3,13,18
2017,8,10,3,12,26
2017,8,10,3,10,50
2017,8,10,3,10,49
2017,8,10,3,10,39
2017,8,10,3,10,39
2017,8,10,3,10,20
2017,8,10,3,10,18
2017,8,10,3,9,6
2017,8,10,3,8,27
2017,8,9,2,21,51
2017,8,9,2,15,31
2017,8,9,2,15,25
2017,8,9,2,15,23
2017,8,9,2,15,21
2017,8,9,2,15,20
2017,8,9,2,15,0
2017,8,9,2,14,7
2017,8,9,2,13,28
2017,8,9,2,12,44
2017,8,9,2,12,39
2017,8,9,2,12,23
2017,8,9,2,11,2
2017,8,9,2,10,46
2017,8,9,2,10,25
2017,8,9,2,9,12
2017,8,9,2,9,7
2017,8,9,2,9,2
2017,8,9,2,9,1
2017,8,9,2,8,15
2017,8,8,1,20,13
2017,8,8,1,17,1
2017,8,8,1,16,42
2017,8,8,1,14,51
2017,8,8,1,14,51
2017,8,8,1,14,31
2017,8,8,1,13,8
2017,8,8,1,12,35
2017,8,8,1,11,49
2017,8,8,1,11,46
2017,8,8,1,11,28
2017,8,8,1,10,50
2017,8,8,1,9,57
2017,8,8,1,9,0
2017,8,8,1,8,53
2017,8,7,0,23,34
2017,8,7,0,21,23
2017,8,7,0,18,23
2017,8,7,0,17,23
2017,8,7,0,16,17
2017,8,7,0,15,49
2017,8,7,0,15,8
2017,8,7,0,15,1
2017,8,7,0,14,17
2017,8,7,0,13,16
2017,8,7,0,13,9
2017,8,7,0,13,6
2017,8,7,0,11,59
2017,8,7,0,11,51
2017,8,7,0,11,11
2017,8,7,0,11,0
2017,8,7,0,10,56
2017,8,7,0,10,25
2017,8,7,0,10,21
2017,8,7,0,10,16
2017,8,7,0,10,13
2017,8,7,0,10,7
2017,8,7,0,9,34
2017,8,7,0,9,33
2017,8,7,0,8,40
2017,8,7,0,0,37
2017,8,6,6,22,49
2017,8,4,4,16,30
2017,8,4,4,14,13
2017,8,4,4,14,0
2017,8,4,4,13,56
2017,8,4,4,12,6
2017,8,4,4,11,55
2017,8,4,4,11,47
2017,8,4,4,11,43
2017,8,4,4,11,43
2017,8,4,4,11,37
2017,8,4,4,11,31
2017,8,4,4,11,27
2017,8,4,4,11,20
2017,8,4,4,11,17
2017,8,4,4,11,12
2017,8,4,4,11,4
2017,8,4,4,11,4
2017,8,4,4,10,37
2017,8,4,4,10,31
2017,8,4,4,10,27
2017,8,4,4,10,2
2017,8,4,4,9,54
2017,8,4,4,9,46
2017,8,4,4,9,46
2017,8,4,4,9,38
2017,8,4,4,9,22
2017,8,4,4,8,56
2017,8,4,4,8,53
2017,8,4,4,8,37
2017,8,4,4,8,29
2017,8,4,4,8,1
2017,8,4,4,6,18
2017,8,4,4,5,33
2017,8,3,3,22,31
2017,8,3,3,16,19
2017,8,3,3,16,19
2017,8,3,3,15,45
2017,8,3,3,15,15
2017,8,3,3,14,57
2017,8,3,3,14,35
2017,8,3,3,11,58
2017,8,3,3,11,52
2017,8,3,3,11,52
2017,8,3,3,10,53
2017,8,3,3,10,32
2017,8,3,3,10,22
2017,8,3,3,10,20
2017,8,3,3,10,16
2017,8,3,3,9,53
2017,8,3,3,9,29
2017,8,3,3,9,10
2017,8,3,3,9,4
2017,8,3,3,8,10
2017,8,3,3,4,40
2017,8,2,2,16,37
2017,8,2,2,15,35
2017,8,2,2,15,27
2017,8,2,2,15,23
2017,8,2,2,15,15
2017,8,2,2,15,8
2017,8,2,2,14,33
2017,8,2,2,13,23
2017,8,2,2,12,49
2017,8,2,2,12,45
2017,8,2,2,12,40
2017,8,2,2,12,21
2017,8,2,2,12,8
2017,8,2,2,11,57
2017,8,2,2,11,44
2017,8,2,2,11,43
2017,8,2,2,11,39
2017,8,2,2,11,29
2017,8,2,2,11,26
2017,8,2,2,10,59
2017,8,2,2,10,42
2017,8,2,2,10,41
2017,8,2,2,10,40
2017,8,2,2,10,34
2017,8,2,2,10,26
2017,8,2,2,10,22
2017,8,2,2,9,58
2017,8,2,2,9,23
2017,8,2,2,9,15
2017,8,2,2,8,38
2017,8,2,2,8,21
2017,8,2,2,8,21
2017,8,1,1,23,17
2017,8,1,1,17,3
2017,8,1,1,17,2
2017,8,1,1,17,0
2017,8,1,1,16,59
2017,8,1,1,16,59
2017,8,1,1,16,18
2017,8,1,1,14,29
2017,8,1,1,14,29
2017,8,1,1,14,2
2017,8,1,1,13,0
2017,8,1,1,12,58
2017,8,1,1,12,55
2017,8,1,1,12,48
2017,8,1,1,12,17
2017,8,1,1,12,7
2017,8,1,1,11,37
2017,8,1,1,11,10
2017,8,1,1,11,7
2017,8,1,1,11,1
2017,8,1,1,10,26
2017,8,1,1,10,23
2017,8,1,1,10,9
2017,8,1,1,9,46
2017,8,1,1,9,38
2017,8,1,1,9,15
2017,8,1,1,8,59
2017,7,31,0,17,4
2017,7,31,0,16,12
2017,7,31,0,15,53
2017,7,31,0,15,7
2017,7,31,0,15,4
2017,7,31,0,14,37
2017,7,31,0,14,1
2017,7,31,0,13,49
2017,7,31,0,13,36
2017,7,31,0,13,35
2017,7,31,0,13,35
2017,7,31,0,13,35
2017,7,31,0,13,35
2017,7,31,0,13,32
2017,7,31,0,12,14
2017,7,31,0,11,49
2017,7,31,0,11,24
2017,7,31,0,11,23
2017,7,31,0,11,18
2017,7,31,0,11,5
2017,7,31,0,10,52
2017,7,31,0,10,50
2017,7,31,0,10,48
2017,7,31,0,10,44
2017,7,31,0,10,43
2017,7,31,0,10,8
2017,7,31,0,10,6
2017,7,31,0,9,52
2017,7,31,0,9,50
2017,7,31,0,9,50
2017,7,31,0,9,38
2017,7,31,0,9,13
2017,7,31,0,8,34
2017,7,29,5,10,40
2017,7,29,5,10,39
2017,7,28,4,19,15
2017,7,28,4,17,6
2017,7,28,4,17,1
2017,7,28,4,15,20
2017,7,28,4,14,34
2017,7,28,4,14,34
2017,7,28,4,14,1
2017,7,28,4,13,35
2017,7,28,4,13,24
2017,7,28,4,13,8
2017,7,28,4,13,2
2017,7,28,4,12,48
2017,7,28,4,12,36
2017,7,28,4,12,28
