title,date
edit calendar events,2017-02-14T00:00:00.000Z
redo logging workflows,2017-02-14T00:00:00.000Z
get prescriptions,2017-02-11T00:00:00.000Z
redo swarm to gcal ifttt,2017-02-10T00:00:00.000Z
book flight home for spring break,2017-02-10T00:00:00.000Z
order toilet paper,2017-02-09T00:00:00.000Z
send c1 paycheck to dad,2017-01-25T00:00:00.000Z
send c1 retirement to dad,2017-01-23T00:00:00.000Z
send c1 w2 to dad,2017-01-23T00:00:00.000Z
vacuum,2017-01-23T00:00:00.000Z
get gas,2017-01-23T00:00:00.000Z
review / prepare for tomorrow,2017-01-08T00:00:00.000Z
arrive in mclean,2017-01-08T00:00:00.000Z
pack,2017-01-08T00:00:00.000Z
reply to nicholas,2017-01-09T00:00:00.000Z
laundry,2017-01-06T00:00:00.000Z
clean vape,2017-01-05T00:00:00.000Z
send ntta.org info to dad,2017-01-04T00:00:00.000Z
update credit card number on ntta.org,2017-01-04T00:00:00.000Z
sign in to ntta.org,2017-01-04T00:00:00.000Z
pick up prescription meds,2017-01-14T00:00:00.000Z
tsa precheck appointment,2017-01-14T00:00:00.000Z
help bf make appointment for tsa precheck,2017-01-10T00:00:00.000Z
make appointment for tsa precheck,2017-01-03T00:00:00.000Z
delete events from calendar,2017-01-03T00:00:00.000Z
vacuum ,2016-12-09T00:00:00.000Z
re-order red bull,2016-12-10T00:00:00.000Z
send uber receipts to self,2016-12-10T00:00:00.000Z
find uber receipts,2016-12-10T00:00:00.000Z
update renter's insurance payment,2016-12-10T00:00:00.000Z
update spreadsheet,2016-12-05T00:00:00.000Z
update calendar,2016-12-07T00:00:00.000Z
listen to discover weekly,2016-12-05T00:00:00.000Z
sign up for costco membership,2016-11-25T00:00:00.000Z
validate CO,2016-11-22T00:00:00.000Z
listen to discover weekly,2016-11-22T00:00:00.000Z
conditional formatting for yes/no columns,2016-11-22T00:00:00.000Z
pick up package,2016-11-21T00:00:00.000Z
unlock mac with apple watch,2016-11-18T00:00:00.000Z
trim nails,2016-11-18T00:00:00.000Z
pick up package,2016-11-18T00:00:00.000Z
do some work,2016-11-17T00:00:00.000Z
pick up birth control and antidepressants,2016-11-20T00:00:00.000Z
haircut appointment,2016-11-20T00:00:00.000Z
make haircut appointment,2016-11-14T00:00:00.000Z
update calendar,2016-11-14T00:00:00.000Z
update spreadsheet,2016-11-14T00:00:00.000Z
buy jelly beans on amazon,2016-11-10T00:00:00.000Z
buy red bull on amazon,2016-11-10T00:00:00.000Z
listen to discover weekly,2016-11-14T00:00:00.000Z
update spreadsheet,2016-11-08T00:00:00.000Z
update calendar,2016-11-08T00:00:00.000Z
pick up boxes from aunt's friend's house,2016-11-06T00:00:00.000Z
reply to fb messages,2016-11-04T00:00:00.000Z
update spreadsheet,2016-11-03T00:00:00.000Z
update calendar,2016-11-03T00:00:00.000Z
filter discover weekly,2016-10-31T00:00:00.000Z
update spreadsheet,2016-10-27T00:00:00.000Z
update calendar,2016-10-30T00:00:00.000Z
laundry,2016-10-26T00:00:00.000Z
target run,2016-10-23T00:00:00.000Z
pick up prescriptions,2016-10-23T00:00:00.000Z
update spreadsheet,2016-10-25T00:00:00.000Z
update calendar,2016-10-25T00:00:00.000Z
update spreadsheet,2016-10-20T00:00:00.000Z
update calendar,2016-10-20T00:00:00.000Z
label pokemon by tier,2016-10-20T00:00:00.000Z
add friends on happy street from reddit,2016-10-22T00:00:00.000Z
clean bathroom,2016-10-19T00:00:00.000Z
clean living area,2016-10-19T00:00:00.000Z
create chase account and set up autopay,2016-10-19T00:00:00.000Z
update spreadsheet,2016-10-18T00:00:00.000Z
update calendar,2016-10-18T00:00:00.000Z
check packages,2016-10-18T00:00:00.000Z
check mail,2016-10-18T00:00:00.000Z
listen to discover weekly,2016-10-17T00:00:00.000Z
update calendar,2016-10-17T00:00:00.000Z
update spreadsheet,2016-10-17T00:00:00.000Z
update spreadsheet,2016-10-14T00:00:00.000Z
