year,month,day,dow,hour,minute
2017,8,15,1,9,27
2017,8,15,1,7,29
2017,8,15,1,7,23
2017,8,15,1,7,3
2017,8,15,1,6,45
2017,8,15,1,5,59
2017,8,15,1,5,29
2017,8,14,0,15,31
2017,8,14,0,10,30
2017,8,14,0,10,19
2017,8,14,0,10,7
2017,8,14,0,9,18
2017,8,14,0,7,36
2017,8,11,4,8,57
2017,8,11,4,8,30
2017,8,10,3,8,54
2017,8,10,3,8,48
2017,8,10,3,12,26
2017,8,10,3,11,35
2017,8,10,3,6,31
2017,8,9,2,11,1
2017,8,9,2,5,58
2017,8,9,2,5,55
2017,8,8,1,9,55
2017,8,8,1,9,11
2017,8,8,1,3,58
2017,8,7,0,4,8
2017,8,4,4,16,54
2017,8,4,4,16,54
2017,8,4,4,16,54
2017,8,4,4,11,39
2017,8,4,4,11,31
2017,8,4,4,11,29
2017,8,4,4,11,3
2017,8,3,3,12,44
2017,8,3,3,11,26
2017,8,3,3,10,37
2017,8,3,3,9,41
2017,8,3,3,9,9
2017,8,3,3,9,9
2017,8,3,3,9,9
2017,8,2,2,10,54
2017,8,2,2,10,53
2017,8,2,2,15,15
2017,8,2,2,7,53
2017,8,2,2,7,1
2017,8,2,2,11,41
2017,8,2,2,11,33
2017,8,2,2,6,8
2017,8,2,2,9,44
2017,8,1,1,23,27
2017,8,1,1,9,53
2017,8,1,1,9,0
2017,8,1,1,6,0
2017,8,1,1,8,59
2017,8,1,1,8,59
2017,8,1,1,8,59
2017,8,1,1,8,59
2017,7,31,0,17,3
2017,7,31,0,14,29
2017,7,31,0,7,56
2017,7,31,0,6,2
2017,7,31,0,6,1
2017,7,31,0,5,30
2017,7,31,0,10,9
2017,7,31,0,5,9
2017,7,30,6,11,14
2017,7,29,5,14,31
2017,7,29,5,12,14
2017,7,28,4,5,2
2017,7,27,3,18,18
2017,7,27,3,11,8
2017,7,27,3,10,23
2017,7,27,3,8,51
2017,7,27,3,5,27
2017,7,26,2,17,51
2017,7,26,2,14,48
2017,7,26,2,9,41
2017,7,26,2,9,38
2017,7,26,2,9,22
2017,7,26,2,7,3
2017,7,26,2,5,37
2017,7,26,2,5,33
2017,7,25,1,21,13
2017,7,25,1,21,13
2017,7,25,1,21,13
2017,7,25,1,16,46
2017,7,25,1,16,33
2017,7,25,1,16,25
2017,7,25,1,9,3
2017,7,25,1,13,46
2017,7,25,1,6,42
2017,7,25,1,6,12
2017,7,25,1,11,2
2017,7,25,1,5,57
2017,7,25,1,5,38
2017,7,25,1,5,22
2017,7,24,0,4,26
2017,7,24,0,9,22
2017,7,21,4,10,50
2017,7,21,4,8,15
2017,7,21,4,7,27
2017,7,21,4,7,11
2017,7,21,4,11,17
2017,7,21,4,6,4
2017,7,21,4,5,48
2017,7,20,3,12,8
2017,7,20,3,11,50
2017,7,20,3,16,44
2017,7,20,3,12,3
2017,7,20,3,10,56
2017,7,20,3,10,55
2017,7,20,3,8,47
2017,7,20,3,3,46
2017,7,19,2,10,23
2017,7,19,2,10,20
2017,7,19,2,12,25
2017,7,18,1,16,27
2017,7,18,1,8,55
2017,7,18,1,13,45
2017,7,18,1,11,49
2017,7,18,1,11,22
2017,7,18,1,6,20
2017,7,18,1,11,19
2017,7,18,1,6,12
2017,7,18,1,5,56
2017,7,18,1,5,42
2017,7,17,0,15,4
2017,7,17,0,14,58
2017,7,17,0,12,34
2017,7,17,0,9,30
2017,7,17,0,8,59
2017,7,17,0,7,22
2017,7,17,0,7,19
2017,7,17,0,6,55
2017,7,17,0,6,54
2017,7,17,0,6,52
2017,7,17,0,6,51
2017,7,14,4,10,42
2017,7,14,4,14,4
2017,7,14,4,9,4
2017,7,14,4,12,43
2017,7,14,4,12,23
2017,7,14,4,7,22
2017,7,14,4,7,20
2017,7,14,4,9,57
2017,7,13,3,10,48
2017,7,13,3,14,43
2017,7,13,3,6,22
2017,7,13,3,10,34
2017,7,13,3,10,14
2017,7,13,3,10,14
2017,7,12,2,12,15
2017,7,12,2,8,37
2017,7,12,2,11,23
2017,7,12,2,10,0
2017,7,12,2,4,59
2017,7,11,1,10,13
2017,7,11,1,9,30
2017,7,11,1,4,16
2017,7,10,0,9,21
2017,7,10,0,8,32
2017,7,10,0,8,19
2017,7,10,0,13,1
2017,7,10,0,7,40
2017,7,10,0,7,31
2017,7,10,0,5,53
2017,7,10,0,5,43
2017,7,10,0,10,12
2017,7,10,0,9,37
2017,7,7,4,9,53
2017,7,7,4,13,43
2017,7,7,4,8,31
2017,7,7,4,6,54
2017,7,7,4,6,46
2017,7,7,4,6,6
2017,7,7,4,4,50
2017,7,6,3,6,2
2017,7,6,3,10,34
2017,7,6,3,10,31
2017,7,6,3,5,29
2017,7,5,2,12,35
2017,7,5,2,12,32
2017,7,5,2,12,2
2017,7,5,2,10,5
2017,7,5,2,10,5
2017,7,5,2,5,5
2017,7,5,2,10,4
2017,7,3,0,12,40
2017,7,3,0,9,51
2017,7,3,0,14,30
2017,7,3,0,13,57
2017,7,3,0,5,36
2017,7,3,0,5,24
2017,7,3,0,5,5
2017,7,3,0,4,45
2017,7,1,5,19,4
2017,6,30,4,11,55
2017,6,30,4,11,50
2017,6,30,4,11,29
2017,6,30,4,9,54
2017,6,30,4,14,31
2017,6,30,4,10,31
2017,6,29,3,11,5
2017,6,29,3,7,38
2017,6,29,3,7,14
2017,6,29,3,7,13
2017,6,29,3,7,7
2017,6,29,3,10,13
2017,6,29,3,4,41
2017,6,27,1,13,0
2017,6,27,1,6,55
2017,6,27,1,6,39
2017,6,27,1,11,31
2017,6,27,1,5,48
2017,6,26,0,17,23
2017,6,26,0,7,35
2017,6,26,0,11,57
2017,6,26,0,5,26
2017,6,26,0,4,30
2017,6,23,4,9,57
2017,6,23,4,7,57
2017,6,23,4,10,49
2017,6,23,4,10,2
2017,6,22,3,10,24
2017,6,22,3,9,31
2017,6,22,3,8,42
2017,6,21,2,12,5
2017,6,21,2,5,31
2017,6,21,2,10,27
2017,6,20,1,10,40
2017,6,20,1,7,2
2017,6,20,1,6,52
2017,6,20,1,6,16
2017,6,20,1,5,36
2017,6,20,1,9,51
2017,6,19,0,13,31
2017,6,19,0,10,5
2017,6,19,0,12,45
2017,6,19,0,6,51
2017,6,16,4,8,24
2017,6,16,4,13,21
2017,6,16,4,4,17
2017,6,15,3,9,29
2017,6,15,3,8,30
2017,6,15,3,8,20
2017,6,15,3,7,38
2017,6,15,3,6,43
2017,6,14,2,12,10
2017,6,14,2,9,46
2017,6,14,2,7,58
2017,6,14,2,12,51
2017,6,14,2,7,50
2017,6,14,2,6,50
2017,6,14,2,4,45
2017,6,13,1,16,53
2017,6,13,1,13,18
2017,6,13,1,13,17
2017,6,13,1,13,17
2017,6,13,1,6,56
2017,6,13,1,10,39
2017,6,12,0,9,32
2017,6,12,0,8,20
2017,6,12,0,8,4
2017,6,12,0,8,0
2017,6,12,0,7,58
2017,6,12,0,12,54
2017,6,12,0,7,53
2017,6,12,0,7,42
2017,6,12,0,12,38
2017,6,12,0,11,50
2017,6,12,0,6,49
2017,6,12,0,5,32
2017,6,12,0,9,59
2017,6,9,4,9,30
2017,6,9,4,7,30
2017,6,9,4,6,20
2017,6,9,4,6,20
2017,6,9,4,6,2
2017,6,9,4,5,55
2017,6,9,4,5,54
2017,6,9,4,5,15
2017,6,8,3,9,46
2017,6,8,3,13,48
2017,6,8,3,10,40
2017,6,8,3,10,40
2017,6,8,3,9,12
2017,6,8,3,9,12
2017,6,8,3,9,12
2017,6,8,3,9,11
2017,6,7,2,12,50
2017,6,7,2,8,49
2017,6,7,2,7,17
2017,6,7,2,12,2
2017,6,7,2,10,45
2017,6,7,2,5,19
2017,6,7,2,5,17
2017,6,6,1,12,36
2017,6,6,1,14,4
2017,6,6,1,5,39
2017,6,6,1,5,36
2017,6,6,1,5,25
2017,6,5,0,9,55
2017,6,5,0,9,27
2017,6,5,0,7,36
2017,6,3,5,15,30
2017,6,3,5,15,29
2017,6,2,4,14,34
2017,6,2,4,5,44
2017,6,2,4,5,30
2017,6,1,3,12,34
2017,6,1,3,12,6
2017,6,1,3,16,59
2017,6,1,3,10,0
2017,6,1,3,9,57
2017,6,1,3,6,46
2017,6,1,3,11,45
2017,5,31,2,12,23
2017,5,31,2,12,5
2017,5,31,2,11,59
2017,5,31,2,11,58
2017,5,31,2,7,51
2017,5,31,2,6,48
2017,5,31,2,6,26
2017,5,31,2,5,57
2017,5,30,1,11,52
2017,5,30,1,11,51
2017,5,30,1,10,13
2017,5,30,1,13,32
2017,5,30,1,8,32
2017,5,30,1,6,58
2017,5,30,1,6,16
2017,5,29,0,23,48
2017,5,29,0,23,47
2017,5,28,6,20,47
2017,5,28,6,20,47
2017,5,28,6,20,47
2017,5,26,4,4,25
2017,5,25,3,6,40
2017,5,25,3,11,38
2017,5,24,2,7,5
2017,5,24,2,10,46
2017,5,24,2,10,46
2017,5,24,2,10,29
2017,5,24,2,4,36
2017,5,24,2,4,28
2017,5,23,1,4,27
2017,5,22,0,12,8
2017,5,22,0,13,43
2017,5,22,0,8,8
2017,5,22,0,7,2
2017,5,22,0,6,45
2017,5,22,0,6,23
2017,5,22,0,11,21
2017,5,22,0,11,2
2017,5,22,0,5,58
2017,5,22,0,10,57
2017,5,19,4,11,30
2017,5,19,4,9,39
2017,5,18,3,16,22
2017,5,18,3,12,17
2017,5,18,3,6,31
2017,5,18,3,6,21
2017,5,18,3,6,16
2017,5,18,3,6,3
2017,5,18,3,9,55
2017,5,18,3,9,54
2017,5,18,3,9,52
2017,5,17,2,14,3
2017,5,17,2,7,16
2017,5,17,2,5,48
2017,5,17,2,10,43
2017,5,17,2,9,39
2017,5,17,2,9,12
2017,5,17,2,9,12
2017,5,16,1,10,30
2017,5,16,1,9,41
2017,5,15,0,8,26
2017,5,15,0,4,36
2017,5,15,0,9,30
2017,5,11,3,15,43
2017,5,11,3,7,15
2017,5,10,2,6,46
2017,5,10,2,5,45
2017,5,10,2,5,31
2017,5,9,1,13,8
2017,5,9,1,11,50
2017,5,9,1,11,44
2017,5,9,1,11,43
2017,5,9,1,9,40
2017,5,9,1,10,40
2017,5,9,1,6,44
2017,5,9,1,6,44
2017,5,8,0,11,18
2017,5,8,0,10,35
2017,5,8,0,9,4
2017,5,8,0,10,43
2017,5,5,4,20,28
2017,5,5,4,11,5
2017,5,5,4,10,59
2017,5,5,4,10,35
2017,5,5,4,9,38
2017,5,5,4,8,46
2017,5,5,4,11,18
2017,5,5,4,11,5
2017,5,5,4,10,58
2017,5,5,4,10,41
2017,5,5,4,10,36
2017,5,5,4,5,35
2017,5,4,3,8,23
2017,5,4,3,7,55
2017,5,4,3,12,10
2017,5,4,3,6,58
2017,5,4,3,5,47
2017,5,4,3,10,20
2017,5,3,2,12,17
2017,5,3,2,11,56
2017,5,3,2,16,49
2017,5,3,2,11,10
2017,5,3,2,8,23
2017,5,3,2,8,5
2017,5,3,2,7,52
2017,5,3,2,5,1
2017,5,3,2,9,55
2017,5,3,2,9,55
2017,5,3,2,9,55
2017,5,3,2,9,52
2017,5,2,1,11,51
2017,5,2,1,9,23
2017,5,2,1,6,35
2017,5,2,1,5,38
2017,5,2,1,5,37
2017,5,2,1,5,28
2017,5,1,0,11,53
2017,5,1,0,11,22
2017,5,1,0,11,15
2017,5,1,0,10,59
2017,5,1,0,10,52
2017,5,1,0,15,24
2017,5,1,0,13,22
2017,5,1,0,6,59
2017,5,1,0,11,58
2017,5,1,0,6,56
2017,5,1,0,6,55
2017,5,1,0,11,7
2017,5,1,0,5,55
2017,5,1,0,5,47
2017,5,1,0,5,31
2017,5,1,0,5,22
2017,4,28,4,15,36
2017,4,26,2,13,15
2017,4,26,2,16,32
2017,4,26,2,11,34
2017,4,26,2,5,59
2017,4,25,1,12,20
2017,4,25,1,9,23
2017,4,25,1,7,9
2017,4,25,1,6,11
2017,4,24,0,9,2
2017,4,24,0,8,57
2017,4,24,0,13,35
2017,4,24,0,13,4
2017,4,20,3,10,19
2017,4,20,3,11,23
2017,4,20,3,11,16
2017,4,20,3,10,50
2017,4,19,2,14,54
2017,4,19,2,13,6
2017,4,18,1,15,37
2017,4,18,1,13,12
2017,4,17,0,10,51
2017,4,17,0,13,1
2017,4,17,0,12,39
2017,4,17,0,11,34
2017,4,14,4,10,22
2017,4,14,4,9,22
2017,4,14,4,13,48
2017,4,14,4,8,4
2017,4,13,3,10,26
2017,4,13,3,14,41
2017,4,13,3,10,45
2017,4,13,3,5,40
2017,4,12,2,12,29
2017,4,12,2,15,15
2017,4,12,2,11,45
2017,4,12,2,9,38
2017,4,11,1,11,30
2017,4,11,1,11,20
2017,4,11,1,6,11
2017,4,11,1,5,23
2017,4,10,0,14,34
2017,4,10,0,14,14
2017,4,10,0,14,11
2017,4,10,0,14,9
2017,4,10,0,17,11
2017,4,10,0,15,42
2017,4,10,0,15,36
2017,4,10,0,15,18
2017,4,10,0,15,18
2017,4,10,0,15,18
2017,4,10,0,5,11
2017,4,9,6,17,18
2017,4,6,3,19,0
2017,4,6,3,10,32
2017,4,6,3,10,31
2017,4,6,3,15,28
2017,4,6,3,8,46
2017,4,6,3,13,13
2017,4,6,3,8,13
2017,4,6,3,12,39
2017,4,6,3,5,54
2017,4,6,3,5,26
2017,4,6,3,10,13
2017,4,6,3,4,24
2017,4,5,2,16,43
2017,4,5,2,11,30
2017,4,5,2,11,22
2017,4,5,2,10,9
2017,4,5,2,6,56
2017,4,5,2,6,19
2017,4,5,2,10,22
2017,4,5,2,10,14
2017,4,5,2,10,14
2017,4,4,1,11,51
2017,4,4,1,10,0
2017,4,4,1,8,43
2017,4,4,1,3,51
2017,4,3,0,12,50
2017,4,3,0,12,40
2017,4,3,0,6,49
2017,4,3,0,6,46
2017,4,3,0,5,46
2017,4,3,0,10,37
2017,4,3,0,10,37
2017,4,3,0,5,22
2017,4,3,0,5,15
2017,3,24,4,14,22
2017,3,24,4,13,59
2017,3,24,4,10,40
2017,3,24,4,9,4
2017,3,24,4,6,26
2017,3,24,4,5,43
2017,3,24,4,5,43
2017,3,24,4,5,29
2017,3,23,3,12,52
2017,3,23,3,10,50
2017,3,23,3,7,46
2017,3,22,2,12,52
2017,3,22,2,12,49
2017,3,22,2,12,22
2017,3,22,2,10,50
2017,3,22,2,10,14
2017,3,22,2,10,5
2017,3,22,2,9,52
2017,3,22,2,8,47
2017,3,22,2,8,21
2017,3,22,2,7,26
2017,3,22,2,10,0
2017,3,21,1,12,0
2017,3,21,1,11,8
2017,3,21,1,14,50
2017,3,21,1,13,42
2017,3,21,1,11,25
2017,3,21,1,10,39
2017,3,20,0,16,41
2017,3,20,0,9,53
2017,3,20,0,8,54
2017,3,20,0,13,31
2017,3,20,0,9,57
2017,3,17,4,16,27
2017,3,17,4,15,46
2017,3,17,4,15,45
2017,3,16,3,22,40
2017,3,16,3,14,5
2017,3,16,3,12,5
2017,3,15,2,20,52
2017,3,15,2,8,50
2017,3,15,2,5,10
2017,3,15,2,4,26
2017,3,14,1,15,46
2017,3,14,1,14,9
2017,3,14,1,14,10
2017,3,14,1,14,10
2017,3,14,1,7,1
2017,3,14,1,6,8
2017,3,14,1,10,37
2017,3,14,1,10,37
2017,3,14,1,10,5
2017,3,13,0,13,29
2017,3,13,0,12,53
2017,3,13,0,12,38
2017,3,13,0,9,12
2017,3,13,0,12,51
2017,3,13,0,7,24
2017,3,13,0,6,51
2017,3,13,0,5,50
2017,3,13,0,10,29
2017,3,13,0,5,23
2017,3,13,0,10,4
2017,3,13,0,10,4
2017,3,13,0,10,3
2017,3,12,6,17,57
2017,3,12,6,17,57
2017,3,12,6,17,57
2017,3,12,6,17,57
2017,3,12,6,17,57
2017,3,12,6,17,57
2017,3,12,6,17,57
