date,num_pickups,num_minutes
2017-07-30,26,261
2017-07-29,47,278
2017-07-28,39,374
2017-07-27,90,137
2017-07-26,51,226
2017-07-25,60,136
2017-07-24,41,357
2017-07-23,46,205
2017-07-22,68,705
2017-07-21,63,162
2017-07-20,37,197
2017-07-19,56,299
2017-07-18,65,256
2017-07-17,72,158
2017-07-16,33,158
2017-07-15,14,45
2017-07-14,52,161
2017-07-13,37,100
2017-07-12,71,262
2017-07-11,45,61
2017-07-10,40,108
2017-07-09,22,77
2017-07-08,35,174
2017-07-07,69,457
2017-07-06,40,246
2017-07-05,49,159
2017-07-04,77,260
2017-07-03,52,108
2017-07-02,39,254
2017-07-01,65,218
2017-06-30,38,78
2017-06-29,37,151
2017-06-28,69,133
2017-06-27,55,114
2017-06-26,43,126
2017-06-25,57,196
2017-06-24,42,160
2017-06-23,58,228
2017-06-22,40,142
2017-06-21,62,261
2017-06-20,49,245
2017-06-19,53,167
2017-06-18,57,209
2017-06-17,76,296
2017-06-16,41,230
2017-06-15,79,199
2017-06-14,37,190
2017-06-13,33,195
2017-06-12,37,212
2017-06-11,46,153
2017-06-10,67,189
2017-06-09,52,160
2017-06-08,51,105
2017-06-07,43,70
2017-06-06,56,144
2017-06-05,45,140
2017-06-04,85,382
2017-06-03,71,228
2017-06-02,82,347
2017-06-01,43,77
2017-05-31,54,96
2017-05-30,59,149
2017-05-29,63,432
2017-05-28,46,291
2017-05-27,25,71
2017-05-26,38,107
2017-05-25,48,112
2017-05-24,34,99
2017-05-23,51,215
2017-05-22,50,208
2017-05-21,18,207
2017-05-20,48,190
2017-05-19,44,105
2017-05-18,17,175
2017-05-17,57,209
2017-05-16,31,271
2017-05-15,25,218
2017-05-14,52,158
2017-05-13,74,167
2017-05-12,63,175
2017-05-11,67,129
2017-05-10,48,147
2017-05-09,41,186
2017-05-08,63,145
2017-05-07,18,120
2017-05-06,47,146
2017-05-05,88,162
2017-05-04,53,95
2017-05-03,66,202
2017-05-02,52,154
2017-05-01,40,103
2017-04-30,70,205
2017-04-29,73,173
2017-04-28,131,262
2017-04-27,64,226
2017-04-26,101,263
2017-04-25,39,128
2017-04-24,35,79
2017-04-23,36,290
2017-04-22,60,202
2017-04-21,99,207
2017-04-20,65,238
2017-04-19,46,199
2017-04-18,30,161
2017-04-17,46,96
2017-04-16,54,276
2017-04-15,42,282
2017-04-14,34,392
2017-04-13,58,154
2017-04-12,59,166
2017-04-11,42,134
2017-04-10,59,316
