date,time,session_min
2017-07-30,01:01:20,1
2017-07-30,01:08:37,15
2017-07-30,09:02:48,18
2017-07-30,10:16:13,8
2017-07-30,10:25:44,30
2017-07-30,11:04:52,15
2017-07-30,11:23:41,1
2017-07-30,12:03:29,2
2017-07-30,12:19:43,5
2017-07-30,12:53:34,18
2017-07-30,13:19:46,6
2017-07-30,13:29:18,5
2017-07-30,14:32:49,2
2017-07-30,14:44:08,18
2017-07-30,15:58:15,27
2017-07-30,16:26:18,6
2017-07-30,16:34:10,13
2017-07-30,16:52:39,35
2017-07-30,17:29:19,36
2017-07-29,08:48:15,20
2017-07-29,11:20:29,78
2017-07-29,12:46:22,7
2017-07-29,13:09:08,3
2017-07-29,13:28:59,2
2017-07-29,13:42:44,1
2017-07-29,14:12:02,6
2017-07-29,14:20:11,3
2017-07-29,14:27:29,8
2017-07-29,14:39:59,4
2017-07-29,14:48:20,1
2017-07-29,14:55:13,1
2017-07-29,14:57:30,3
2017-07-29,15:01:53,2
2017-07-29,15:07:41,1
2017-07-29,15:21:31,2
2017-07-29,15:38:52,1
2017-07-29,15:41:58,1
2017-07-29,15:50:12,10
2017-07-29,16:07:45,5
2017-07-29,16:50:03,8
2017-07-29,17:00:50,33
2017-07-29,18:49:07,30
2017-07-29,19:55:51,8
2017-07-29,20:19:11,5
2017-07-29,20:41:03,3
2017-07-29,22:44:41,2
2017-07-29,23:04:21,12
2017-07-29,23:19:37,17
2017-07-29,23:52:56,1
2017-07-28,00:32:11,1
2017-07-28,00:42:24,52
2017-07-28,01:37:04,14
2017-07-28,02:38:53,1
2017-07-28,02:46:39,11
2017-07-28,08:56:01,10
2017-07-28,10:00:34,3
2017-07-28,10:09:41,6
2017-07-28,10:17:48,3
2017-07-28,10:28:09,12
2017-07-28,11:20:01,1
2017-07-28,11:33:57,1
2017-07-28,11:36:59,13
2017-07-28,11:57:31,1
2017-07-28,15:27:50,3
2017-07-28,15:52:29,27
2017-07-28,16:23:49,1
2017-07-28,16:54:18,8
2017-07-28,17:23:57,3
2017-07-28,17:34:04,14
2017-07-28,18:01:02,5
2017-07-28,18:13:24,36
2017-07-28,18:52:20,3
2017-07-28,18:58:44,13
2017-07-28,19:16:09,10
2017-07-28,19:49:17,34
2017-07-28,20:24:53,17
2017-07-28,21:04:34,6
2017-07-28,22:12:11,65
2017-07-27,09:12:46,2
2017-07-27,09:48:37,1
2017-07-27,10:03:25,2
2017-07-27,10:10:37,1
2017-07-27,10:56:31,1
2017-07-27,12:05:13,5
2017-07-27,13:28:42,1
2017-07-27,13:33:22,3
2017-07-27,13:40:32,1
2017-07-27,14:01:09,1
2017-07-27,14:18:19,1
2017-07-27,14:42:34,2
2017-07-27,14:47:23,1
2017-07-27,14:52:20,11
2017-07-27,15:11:54,1
2017-07-27,17:00:20,1
2017-07-27,17:10:48,1
2017-07-27,17:15:15,1
2017-07-27,17:20:30,1
2017-07-27,17:35:39,1
2017-07-27,17:53:05,1
2017-07-27,18:17:13,2
2017-07-27,18:23:45,1
2017-07-27,18:45:35,1
2017-07-27,19:09:50,1
2017-07-27,19:12:40,1
2017-07-27,19:16:59,2
2017-07-27,19:23:23,3
2017-07-27,19:38:18,2
2017-07-27,19:50:37,3
2017-07-27,19:58:49,4
2017-07-27,20:08:51,15
2017-07-27,20:25:42,2
2017-07-27,20:29:04,1
2017-07-27,20:33:11,5
2017-07-27,20:46:05,2
2017-07-27,20:49:59,1
2017-07-27,20:52:34,3
2017-07-27,20:56:55,1
2017-07-27,21:02:11,1
2017-07-27,21:07:52,2
2017-07-27,21:14:55,2
2017-07-27,21:18:10,1
2017-07-27,21:22:25,1
2017-07-27,21:25:03,3
2017-07-27,21:30:52,7
2017-07-27,22:14:56,3
2017-07-27,22:19:16,3
2017-07-27,22:26:28,2
2017-07-27,22:30:07,20
2017-07-27,23:13:19,2
2017-07-26,00:11:06,1
2017-07-26,00:47:02,72
2017-07-26,02:03:24,10
2017-07-26,09:19:15,5
2017-07-26,09:47:04,17
2017-07-26,11:20:01,3
2017-07-26,11:51:59,2
2017-07-26,11:55:47,1
2017-07-26,12:19:12,5
2017-07-26,12:58:39,1
2017-07-26,13:16:21,2
2017-07-26,13:33:41,2
2017-07-26,13:37:53,7
